,username,description,profileUrl,location,website
0,RyeMcKenzie,Co-founder Tru Earth. $100M+ Sales. Mid 8-figure DTC native brand in less than 3 years. Opinions are my own. Peep my Youtube channel link in bio 👇,https://twitter.com/RyeMcKenzie,Vancouver -Subsribe Youtube 👉,https://www.youtube.com/channel/UCr_WZIhS3_mpVbc03Tq-Esw?sub_confirmation=1
1,LtGovDennyHeck,"Proudly serving as the 17th Lieutenant Governor of Washington state. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan. #waleg",https://twitter.com/LtGovDennyHeck,"South Puget Sound, WA",http://Ltgov.wa.gov
2,JayInslee,"Governor of WA. On a mission to defeat climate change. Early to bed, early to rise, work like hell and organize. Let's go get ‘em: JayInslee.com",https://twitter.com/JayInslee,"Bainbridge Island, WA",http://jayinslee.com
3,ubcprez,"Interim President & Vice-Chancellor, University of British Columbia",https://twitter.com/ubcprez,British Columbia,
4,CMLGonzalez,"From migrant farmworker to civil rights attorney fighting for women, kids, workers & immigrants. Former Seattle City Council President & At-Large CM (2015-2021)",https://twitter.com/CMLGonzalez,"Seattle, WA",http://www.seattle.gov/council/gonzalez
5,carmenbest,"Personal/professional Twitter account of Carmen Best, Retired Chief of Police Seattle- FBI/NEI #42; FBI/NA #242;IACP;SMIP;PERF;MCCA;NOBLE",https://twitter.com/carmenbest,"Seattle, WA",http://seattle.gov/police
6,ChiefPalmer,Chief Adam Palmer of @VancouverPD - Board of Directors @MjrCitiesChiefs - former President of @CACP_ACCP - Not monitored 24/7 - Official Twitter account,https://twitter.com/ChiefPalmer,"Vancouver, BC, Canada",http://www.vpd.ca
7,Market_Leader,"A pioneer in lead generation and CRM systems, Market Leader has proudly helped hundreds of thousands of realtors manage and grow their businesses since 1999.",https://twitter.com/Market_Leader,"Bellevue, WA",http://www.marketleader.com
8,ChatWMatt,CEO | Fmr Microsoft Manager/Consultant | Social Media Thought Leader | Globe-trotting Speaker | Author |,https://twitter.com/ChatWMatt,"Seattle, WA",http://tredigital.com
9,FireChiefReid,Chief Commissioner (CAO) Strathcona County | Retired Vancouver Fire/VEMA Chief | Rated 7.9/10 Cool Dad in Focus Groups | Proud 🇨🇦,https://twitter.com/FireChiefReid,"Alberta, Canada",https://www.strathcona.ca
10,DeputyChiefRai,"Deputy Chief Constable, Vancouver Police Department with @VancouverPD. Not monitored 24/7 *Call 9-1-1 for emergencies* or 604-717-3321 for non-emergencies.",https://twitter.com/DeputyChiefRai,"Vancouver, British Columbia",http://www.vpd.ca
11,DrKimSchrier,Pediatrician. Mom. Congresswoman representing #WA08,https://twitter.com/DrKimSchrier,"Issaquah, WA",http://www.DrKimSchrier.com
12,msladyjustice1,"President & CEO, Gathering for Justice, Founder @nyjusticeleague, National Co-Chair, @womensmarch Bookings: team@carmenperez-jordan.com CASHAPP $MsLadyJustice1",https://twitter.com/msladyjustice1,National,https://linktr.ee/msladyjustice1/
13,julwhite,"Chief Marketing & Solutions Officer and Executive Board Member of SAP. Passionate about tech, transformation, and storytelling. She/her",https://twitter.com/julwhite,Seattle,
14,BrentToderian,City planner + urbanist leading @TODUrbanWORKS. Global cities advisor. Past Vancouver chief planner. Past/founding @CanUrbanism president. Speaker.,https://twitter.com/BrentToderian,"Vancouver, British Columbia",http://www.toderianurbanworks.com
15,brianmariotti,Chief Executive Officer @OriginalFunko. Announcer of all things POP! PEZ and #FunkoSODA. Everyone is a fan of something.,https://twitter.com/brianmariotti,"Everett, WA",http://www.funko.com
16,HowardSchultz,Transformative leader; Starbucks ceo and board member; co-founder of the Schultz Family Foundation and the emes project.,https://twitter.com/HowardSchultz,"Seattle, WA",http://sbux.co/reimaginingstarbucks
17,drvickip,"Lifelong educator champion. Believer in the promise of young people. CEO @CtrEdEcon. Former: Tchr., Supt., CSSO, NFP leader @gatesfoundation & @NatGeoEducation.",https://twitter.com/drvickip,"Seattle, WA",
18,DKellerCMT,"Chief Market Strategist @ StockCharts.com, President @ Sierra Alpha Research. Former Fidelity, Bloomberg, CMT Association. For educational purposes only.",https://twitter.com/DKellerCMT,"Redmond, WA",http://www.marketmisbehavior.com
19,micah,"Executive Coach. Repeat Founder. Photographer. Focus: mental health, recovery, kindness, and creativity. ex-@madronaventures @amazon",https://twitter.com/micah,"Seattle, WA",https://www.micahbaldwin.com
20,ceoglenn,"CEO of eXp World Holdings, Inc. expworldholdings.com $EXPI
Founder eXp Realty
CEO SUCCESS.com",https://twitter.com/ceoglenn,"Bellingham, WA",https://discord.gg/success
21,iannuzzimarco,"Retired Pro Athlete. GreyCup Champion.
Harvard & MIT alum. Governor General's Medal recipient.
Let's share positivity, sustainability & community.",https://twitter.com/iannuzzimarco,Vancouver BC,https://youtu.be/ffo2xJChnlk
22,RyanTracyNFL,Consultant | Athletic Matrix™ Founder bit.ly/2017RAC | NFL Draft Analyst @LockedonChiefs & RGR Football goo.gl/ErLusj | Performance Coach | #Chief,https://twitter.com/RyanTracyNFL,Rocky Mountains,https://www.youtube.com/channel/UC1quXkJYOUHlDSw-6tMe-Fg?sub_confirmation=1
23,rchain_coop,"Leaderless smart contract platform allowing safe concurrent execution. President/Founder is @leithaus

RChain® is a registered trademark of RChain Cooperative",https://twitter.com/rchain_coop,"Seattle, WA",https://rchain.coop
24,largehotcoffee,"Founder & CEO, @FAKKU & more",https://twitter.com/largehotcoffee,"Portland, OR",http://instagram.com/largehotcoffee
25,rebekah_bastian,"CEO @owntrail, contributor @forbes, author @bkpub, web3 @ogcollective200 @thetimeis_dao @jpegmorganxyz @joan_DAO_, #AuthenTech founder & investor ✨ rebekahb.eth",https://twitter.com/rebekah_bastian,Seattle,https://owntrail.com/trail/rebekah
26,DataRemixed,"Founder & CEO @dataliteracycom, author of Data Literacy Fundamentals amzn.to/2Ze0OHg & Learning to See Data bit.ly/LTSDBook. Love nature over tech",https://twitter.com/DataRemixed,"Seattle, WA",http://dataliteracy.com
27,PhilNoLimits,"CEO, Founder of Prompt.io. Former pro poker player and host Bravo's Celebrity Poker Showdown.",https://twitter.com/PhilNoLimits,"Seattle, WA",http://www.philnolimits.com
28,cybelenegris,"Top100MostPowerfulWomen;Founder/CEO Webnames.ca;Director mint.ca @BCAA @BlueShoreNews @damonmotorcycle; ViceChair @SBRoundtableBC & @ScienceWorldca,TEDx Speaker",https://twitter.com/cybelenegris,"Vancouver, BC, Canada",http://www.webnamescorporate.com
29,RepRashida,Unapologetic Congresswoman fighting for justice for all. Proudly representing Michigan’s 12th District in the People’s House.,https://twitter.com/RepRashida,"Michigan, USA",http://tlaib.house.gov
