user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Andres Vilariño,"Madrid, Spain","Do something today that your future self will thank you for.
#MIBer de @ISDI_edu

Instagram: @andresvilarino

https://t.co/ha7QHPHsZi",2010-06-17 08:21:10+00:00,5920,5656,77372,False,2023-04-10 15:27:06+00:00,"RT @corixpartners: The #CyberSecurity Leadership Handbook for the #CISO &amp; the #CEO

How to Fix Decade-Old Issues and Protect Your Organizat…","['CyberSecurity', 'CISO', 'CEO']",TweetDeck,False
Jobs via Tweet,,One Stop Destination for Job Search on Twitter.,2022-02-10 14:08:51+00:00,2849,1,129,False,2023-04-10 15:21:16+00:00,"RT @Phinguard: Here is a safety tip for you.
 #securityofficer #safety #patrol #Cybersecurity #cctv #PGS #Phinguard #JAX #Duval #Jacksonvil…","['securityofficer', 'safety', 'patrol', 'Cybersecurity', 'cctv', 'PGS', 'Phinguard', 'JAX', 'Duval']",JobsViaTweet,False
Spiros Margaris,All Over the World,#VC | No. 1 #Fintech @Refinitiv & @Onalytica | @TEDx | @natechsa @ai_mediastalker @GenTwoAG @investwithCARL @SparkLabsGlobal @HeradoHQ,2014-08-06 05:20:16+00:00,128540,21280,233112,True,2023-04-10 15:20:34+00:00,"RT @SpirosMargaris: Japan eyes #AI adoption 

as #OpenAI #CEO visits #PM Kishida, talks up local expansion 

https://t.co/TF8YfhAYW1 #finte…","['AI', 'OpenAI', 'CEO', 'PM']",Twitter Web App,False
Spiros Margaris,All Over the World,#VC | No. 1 #Fintech @Refinitiv & @Onalytica | @TEDx | @natechsa @ai_mediastalker @GenTwoAG @investwithCARL @SparkLabsGlobal @HeradoHQ,2014-08-06 05:20:16+00:00,128540,21280,233112,True,2023-04-10 15:20:29+00:00,"RT @SpirosMargaris: Expedia #CEO Looks to #AI 

to 'Rebalance' Dependence on Google 

https://t.co/pF7wIYZfqi #fintech #ArtificialIntellige…","['CEO', 'AI', 'fintech']",Twitter Web App,False
Shi4Tech 💙 #TechForGood 💙,WORLD CITIZEN💙 NO DM ZONE ,"Tech Influencer. Minimalist. What you do in this life matters. 

#SDGs #AI #TechForGood #Innovation #CyberSecurity #FutureOfWork 

NO Direct Messages, Pls 🇳🇴",2008-09-26 23:20:04+00:00,43604,14669,137644,False,2023-04-10 15:15:31+00:00,"RT @Corix_JC: The #CyberSecurity Leadership Handbook for the #CISO and the #CEO

How to Fix Decade-Old Issues and Protect Your Organization…","['CyberSecurity', 'CISO', 'CEO']",Twitter Web App,False
Jorge Rivera🐝🐝 🎗🎗🎗 my angels Lily,Honeymoon Ave,@arianagrande. @selenagomez happy  birthday  ariana Happy Birthday Selena Gomez,2016-06-20 07:05:17+00:00,2042,4502,41415,False,2023-04-10 15:15:16+00:00,RT @MercedesVarnado: Always bank on yourself! #Monè #CEO #IWGPWomensChampion https://t.co/jTwq4MLA6y,"['Monè', 'CEO', 'IWGPWomensChampion']",Twitter for Android,False
NavigateBoomerMedia,"Santa Monica, CA","Digital advertising, programmatic, strategy, marketing, social media, content #programmatic, consulting, Baby Boomer Experts 805-444-1246",2010-08-24 21:03:51+00:00,1594,1135,2064,False,2023-04-10 15:13:06+00:00,RT @NancyPadberg: Great team work is the foundation that a healthy culture creates! #CEO #leadership #COO https://t.co/pzXAFWAzfI,"['CEO', 'leadership', 'COO']",Twitter for iPhone,False
Wesley de Melo Galan,,,2021-12-09 17:45:28+00:00,20,111,245,False,2023-04-10 15:06:25+00:00,"RT @ceo_bsc: STAKING LIVE in 22 HOURS

Staking will go live in around 22 hours from now on the @BabyDogeCoin  Platform.

STAKE $CEO - EARN…",,Twitter for Android,False
sedící býk,,sitting bull,2019-05-02 06:44:13+00:00,17,321,832,False,2023-04-10 15:04:13+00:00,"RT @NervgenP: We are delighted to announce the appointment of Mr. Michael Kelly to the position of President &amp; CEO starting April 10, 2023!…",,Twitter for iPhone,False
🇨🇻Tayla Andrè Real Estate Advisor,Boston MA ,"🏡Real-tour of homes MA & GA  
📚Author Homeownership Guide 
🌟Inventor
🎙️ Host",2011-01-12 16:54:36+00:00,5052,2231,3731,False,2023-04-10 14:51:33+00:00,"RT @NieishaSpeaks: Are you planning to attend the 2nd annual “How to @boswhileblack Summit” this week?
 
Guess what? 
 
I will be sharing a…",,Twitter for iPhone,False
SoulBot,,"Hello, I’m SoulBot ... My job is to retweet #Blackownedbusiness and follow my sister @Botmagic_22… 25$ a MONTH PROMOS DM me.",2020-06-23 03:06:28+00:00,8137,2,53085,False,2023-04-10 14:51:29+00:00,RT @MarcoDORSEY1: Planning a trip closer to home this summer? How about the Alberta Icefields Parkway? It's a cool journey through the Banf…,,Blackbiz,False
Kristin,,"Enjoys nature, walks, fiction, photography, politics, food, and coffee.",2016-06-24 18:37:11+00:00,3146,4138,106127,False,2023-04-10 14:51:11+00:00,RT @LollyDaskal: If you want to be a successful as a leader you need to learn to become comfortable with uncertainty and make adjustments q…,,Twitter for iPhone,False
jayeshthakur,::1,"Husband, Father, Student, Security n00b. Interested in Cyber Security Research, Pen testing, RED Teaming, & Threat Hunting, Thoughts and Tweets are my own.",2010-09-13 02:13:27+00:00,3397,848,1455,False,2023-04-10 14:23:09+00:00,"RT @SpirosMargaris: Expedia #CEO Looks to #AI 

to 'Rebalance' Dependence on Google 

https://t.co/pF7wIYZfqi #fintech #ArtificialIntellige…","['CEO', 'AI', 'fintech']",jayeshthakur,False
Kritika thakur,"Panchkula, India","#armainan💖

jab se mera dil tera hua #AM❤️

@armaanmalik @rohitsharma🥰
care free soul'😊",2022-07-04 17:10:06+00:00,110,70,7076,False,2023-04-10 14:17:32+00:00,RT @thespicyvenue: Happy to share a moment and celebrity happy smiles captured at The Spicy Venue. Armaan Malik and Daboo Malik with our CE…,,Twitter for Android,False
Bishir Gogari,"Pune, Maharashtra",,2015-09-25 10:10:22+00:00,39,250,19861,False,2023-04-10 14:15:47+00:00,"RT @ContisoftT: We are proudly participant of MSME Expo 2023 Business Networking Show.
Stall No: A3 | 12 &amp; 13 April 2023
Call: 8766638117
#…",,Twitter for Android,False
Sal Piccola,Pittsburgh,,2010-12-20 20:22:17+00:00,260,799,3056,False,2023-04-10 14:06:45+00:00,"RT @DrDavidWeiss: #Infographics Four Leadership Mindsets For The New Economy
Source: Douglas Ready
Sketchnote Tanmay Vora @tnvora
#question…",['Infographics'],Twitter for iPhone,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:38+00:00,"RT @Corix_JC: The #CyberSecurity Leadership Handbook for the #CISO and the #CEO

How to Fix Decade-Old Issues and Protect Your Organization…","['CyberSecurity', 'CISO', 'CEO']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:35+00:00,"RT @Corix_JC: You Checked Out at Work &gt;&gt; Here’s How to Check Back In

https://t.co/YrvjgZ3uy6

@HarvardBiz @OctaviaGoredema #business #lead…",['business'],Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:18+00:00,"RT @Corix_JC: Four Ways to Build a #Culture of Honesty and Avoid ‘#Productivity Paranoia’

https://t.co/rtt2kbL4p1 

@mitsmr @Pamela_Meyer…","['Culture', 'Productivity']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:15+00:00,"RT @Corix_JC: Are we returning to pre-pandemic ways of working?

https://t.co/VJZKNFdeLv

@HRMagazine #business #leaders #leadership #manag…","['business', 'leaders', 'leadership']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:13+00:00,"RT @Corix_JC: Job, Career, or #Purpose ?

https://t.co/79jyoiJ2fz 

@mitsmr @charnmcallister #business #leaders #leadership #management #cu…","['Purpose', 'business', 'leaders', 'leadership', 'management']",Twitter for Android,False
Chris Bertsch,Neither here nor there,"Part bot, part not - I would love to change the world, but they wouldn't give me the source code",2009-08-26 21:13:26+00:00,1869,388,239765,False,2023-04-10 14:06:12+00:00,"RT @Transform_Sec: Strategic risk analysis is key to ensure customer trust in product, customer-facing app security &gt; https://t.co/NRiTeMaO…",,retweettcb,False
Nikita Srivastava,India,Lawyer by profession and loving music is my passion,2019-03-27 12:32:01+00:00,708,94,312901,False,2023-04-10 14:06:10+00:00,RT @thespicyvenue: Happy to share a moment and celebrity happy smiles captured at The Spicy Venue. Armaan Malik and Daboo Malik with our CE…,,Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:09+00:00,"RT @Transform_Sec: Dispelling The Myths Around #Cybersecurity For Small Businesses &gt; https://t.co/9PWMyjRud5 

#security #infosec #cyberthr…","['Cybersecurity', 'security', 'infosec']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:06:01+00:00,"RT @Corix_JC: Too much #data, too few #skills &gt;&gt; To achieve #personalization, there is another way

https://t.co/PFUbqaR5mH 

@adrianswinsc…","['data', 'skills', 'personalization']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:58+00:00,"RT @Corix_JC: The @CorixPartners Friday Reading List &gt;&gt; Hand-picked Content for Top #Leaders
 
Now Free on @Medium after 4 Weeks &gt;&gt; Check i…",['Leaders'],Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:46+00:00,"RT @corixpartners: Strategic risk analysis is key to ensure customer trust in product, customer-facing app security &gt; https://t.co/AyvhSQCo…",,Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:44+00:00,"RT @Transform_Sec: Re-evaluating immature and ineffective insider #risk management programs &gt; https://t.co/aDfBtC9C1y 

#cybersecurity #cyb…","['risk', 'cybersecurity']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:28+00:00,"RT @Corix_JC: #Cybersecurity Budgets Are Wasted By An Overabundance Of Tools

https://t.co/0pymjjQcuC 

@forbes @Gurucul @Strata_Sec #tech…","['Cybersecurity', 'tech']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:26+00:00,"RT @Corix_JC: Hand-Picked Content for Top #Digital Leaders

Follow me on @ScoopIt &gt;&gt; https://t.co/qJGVD2JCep

#business #leadership #manage…","['Digital', 'business', 'leadership']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:20+00:00,"RT @corixpartners: 6 steps to measure the #business value of #IT &gt; https://t.co/5NvsA5Kx8p 

#tech #digital #innovation #leaders #leadershi…","['business', 'IT', 'tech', 'digital', 'innovation', 'leaders']",Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:18+00:00,"RT @Transform_Sec: Strategic risk analysis is key to ensure customer trust in product, customer-facing app security &gt; https://t.co/NRiTeMaO…",,Twitter for Android,False
TCyberCast,"London, UK",The @CorixPartners Cyber Security Transformation #Podcast with @Corix_JC & Guests | #cybersecurity #leadership #CISO #CIO #CEO | https://t.co/8pAoSvKd8V,2020-06-11 10:39:58+00:00,870,1206,23598,False,2023-04-10 14:05:08+00:00,"RT @Transform_Sec: Strategic #risk analysis is key to ensure customer #trust in product, customer-facing app #security

https://t.co/KSfZrz…","['risk', 'trust', 'security']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:04:36+00:00,"RT @Corix_JC: Don’t Learn the Wrong Lessons from Failure

https://t.co/WXRXX5a7Ux 

@HarvardBiz @emresoyer #business #leaders #leadership #…","['business', 'leaders', 'leadership']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:04:33+00:00,"RT @Corix_JC: How better use of #data can improve #compliance programs

https://t.co/GZHc8ifOR3

@VentureBeat @NAVEXInc #business #leaders…","['data', 'compliance', 'business', 'leaders']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:04:26+00:00,"RT @Corix_JC: Building the Green #Hydrogen Economy

https://t.co/hiAy6iHY9N

@BCG #business #leaders #leadership #management #impact #susta…","['Hydrogen', 'business', 'leaders', 'leadership', 'management', 'impact']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:04:17+00:00,"RT @Corix_JC: Fake #ransomware gang targets U.S. orgs with empty data leak threats

https://t.co/iPCsFCTxAE

@BleepinComputer #cybersecurit…",['ransomware'],Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:04:13+00:00,"RT @Corix_JC: The #CyberSecurity Leadership Handbook for the #CISO and the #CEO

How to Fix Decade-Old Issues and Protect Your Organization…","['CyberSecurity', 'CISO', 'CEO']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:04:09+00:00,"RT @Corix_JC: Industry #Strategy &gt;&gt; 5 potential inflexion points on the radar of Chief Strategy Officers

https://t.co/kpSqORkTXh

@wef #bu…",['Strategy'],Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:03:26+00:00,"RT @Transform_Sec: Dispelling The Myths Around #Cybersecurity For Small Businesses &gt; https://t.co/9PWMyjRud5 

#security #infosec #cyberthr…","['Cybersecurity', 'security', 'infosec']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:03:04+00:00,"RT @TCyberCast: To all our listeners, many thanks for all the love and support in 2022!

https://t.co/8fHcUCmHYt

@Corix_JC @CorixPartners…",,Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:02:43+00:00,"RT @Transform_Sec: Re-evaluating immature and ineffective insider #risk management programs &gt; https://t.co/aDfBtC9C1y 

#cybersecurity #cyb…","['risk', 'cybersecurity']",Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:02:29+00:00,"RT @Transform_Sec: Strategic risk analysis is key to ensure customer trust in product, customer-facing app security &gt; https://t.co/NRiTeMaO…",,Twitter for Android,False
Gyan Singh,"Uttar Pradesh, India जय हिन्द ",कालपी जिला जालौन बुन्देलखण्ड उतर प्रदेश,2021-08-17 11:10:56+00:00,491,5001,3501,False,2023-04-10 14:02:24+00:00,RT @DrishtiPCS: Find the solution to this quiz in our #UttarPradesh DCAT magazine. Get your copy of this magazine to ace the UPPCS exam tod…,['UttarPradesh'],Twitter for Android,False
corixpartners,"London, UK",Boutique #management consultancy firm and thought #leadership platform focused on assisting C-level executives around #cybersecurity strategy & governance,2012-08-04 09:59:36+00:00,2926,2062,353,False,2023-04-10 14:02:21+00:00,"RT @Transform_Sec: Strategic #risk analysis is key to ensure customer #trust in product, customer-facing app #security

https://t.co/KSfZrz…","['risk', 'trust', 'security']",Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:56+00:00,"RT @Corix_JC: The #CyberSecurity Leadership Handbook for the #CISO and the #CEO

How to Fix Decade-Old Issues and Protect Your Organization…","['CyberSecurity', 'CISO', 'CEO']",Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:53+00:00,"RT @Corix_JC: You Checked Out at Work &gt;&gt; Here’s How to Check Back In

https://t.co/YrvjgZ3uy6

@HarvardBiz @OctaviaGoredema #business #lead…",['business'],Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:51+00:00,"RT @TCyberCast: To all our listeners, many thanks for all the love and support in 2022!

https://t.co/bMbdqp8Hdc

@Corix_JC @CorixPartners…",,Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:34+00:00,"RT @Corix_JC: Four Ways to Build a #Culture of Honesty and Avoid ‘#Productivity Paranoia’

https://t.co/rtt2kbL4p1 

@mitsmr @Pamela_Meyer…","['Culture', 'Productivity']",Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:32+00:00,"RT @Corix_JC: Are we returning to pre-pandemic ways of working?

https://t.co/VJZKNFdeLv

@HRMagazine #business #leaders #leadership #manag…","['business', 'leaders', 'leadership']",Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:29+00:00,"RT @Corix_JC: Job, Career, or #Purpose ?

https://t.co/79jyoiJ2fz 

@mitsmr @charnmcallister #business #leaders #leadership #management #cu…","['Purpose', 'business', 'leaders', 'leadership', 'management']",Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:27+00:00,"RT @Corix_JC: To all our listeners on the @CorixPartners Cyber Security Transformation #Podcast, many thanks for all the love and support i…",['Podcast'],Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:01:02+00:00,"RT @Corix_JC: Too much #data, too few #skills &gt;&gt; To achieve #personalization, there is another way

https://t.co/PFUbqaR5mH 

@adrianswinsc…","['data', 'skills', 'personalization']",Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:00:59+00:00,"RT @Corix_JC: The @CorixPartners Friday Reading List &gt;&gt; Hand-picked Content for Top #Leaders
 
Now Free on @Medium after 4 Weeks &gt;&gt; Check i…",['Leaders'],Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:00:57+00:00,"RT @TCyberCast: To all our listeners, many thanks for all the love and support in 2022!

https://t.co/8fHcUCmHYt

@Corix_JC @CorixPartners…",,Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:00:36+00:00,"RT @corixpartners: Strategic risk analysis is key to ensure customer trust in product, customer-facing app security &gt; https://t.co/AyvhSQCo…",,Twitter for Android,False
TransformSecurity,"London, England",A dedicated think-tank and #research body aimed at approaching #cybersecurity problems differently | Follow our @Medium publication https://t.co/WobGI75xcL,2015-11-21 09:17:02+00:00,2969,2158,133125,False,2023-04-10 14:00:21+00:00,"RT @Corix_JC: #Cybersecurity Budgets Are Wasted By An Overabundance Of Tools

https://t.co/0pymjjQcuC 

@forbes @Gurucul @Strata_Sec #tech…","['Cybersecurity', 'tech']",Twitter for Android,False
