username,bio,profile_url,website,location,followers_count
Cobratate,Light-Heavyweight Kickboxing World Champion. Escape the Matrix: Cobratate.com,https://twitter.com/Cobratate,http://www.cobratate.com,Dubai,5393504
zoo_bear,"Fact-Checker, Co-founder @AltNews | Analysing misinfo/disinfo across India | E-mail: zubair@altnews.in | insta : instagram.com/zoo_bear_",https://twitter.com/zoo_bear,https://www.altnews.in/author/mzubair/,India,710153
ValtteriBottas,@F1 driver for @alfaromeostake. ambassador for @canyon_bikes. in partnership with @hyland and @sufhelsinki. Never give up. #VB77,https://twitter.com/ValtteriBottas,https://oathgin.com,Around the World,1580538
sayedzbukhari,Entrepreneur | Cricket Enthusiast | Former Special Assistant to the Prime Minister for Overseas Pakistanis & HRD | Chairman NTCB & PTDC | Zulfi Bukhari,https://twitter.com/sayedzbukhari,http://www.instagram.com/sayedz.bukhari,London - Islamabad,1149018
ViktorAxelsen,Badminton Player #YonexBadminton athlete - 2017 and 2022 World Champion - 2020 Tokyo Olympics Gold Medalist. Busy chasing dreams.,https://twitter.com/ViktorAxelsen,http://viktoraxelsen.dk,"Dubai, United Arab Emirates",136946
ImRaina,"Professional Cricketer 🇮🇳, Co-Founder @maatecare, @grfcare 📧 - team@sureshraina.com For queries, contact Rishiraj - rg@artkonnect.in",https://twitter.com/ImRaina,,India,20872166
ishehnaaz_gill,"Official Account. Bigg Boss 13 finalist. 
Singer. Actor. Live & Let Live.
Business queries: officialshehnaaz@gmail.com",https://twitter.com/ishehnaaz_gill,http://www.instagram.com/shehnaazgill,Mumbai,1048448
himantabiswa,"Chief Minister, Assam. India",https://twitter.com/himantabiswa,http://www.himantabiswasarma.com,"Guwahati,India",1946142
kaalabhairava7,Music Composer || Playback Singer,https://twitter.com/kaalabhairava7,,"Hyderabad, India",74236
ShefVaidya,"Author, Speaker. Fellow-Ananta Leadership Program, BORI-Infosys Fellow, Convenor-Indic Academy. Love Travel, Temples And Textiles. #NoBindiNoBusiness",https://twitter.com/ShefVaidya,http://swarajyamag.com/author/17642/shefali-vaidya,"Pune, Maharashtra",689259
narendramodi,Prime Minister of India,https://twitter.com/narendramodi,http://www.narendramodi.in,India,87129038
LostTemple7,"Outside from ur History Book,A(Story Teller)

#TimeMachine,

youtube Link youtube.com/c/LostTemples7 , FB link facebook.com/LostTemple7/",https://twitter.com/LostTemple7,https://www.kooapp.com/profile/lost_temples,bharat,502891
Tejasvi_Surya,National President of BJP Yuva Morcha | MP for Bengaluru South Lok Sabha Constituency | Aspiring Triathlete | Advocate | RT × endorsements | #MadeinIndia,https://twitter.com/Tejasvi_Surya,http://tejasvisurya.in,"Bengaluru, India",1267612
smritiirani,Union Cabinet Minister for @MinistryWCD and @MOMAIndia | MP Amethi Lok Sabha Constituency,https://twitter.com/smritiirani,,India,12724999
supriya_sule,"@NCPSpeaks Member of Parliament - Baramati Lok Sabha Constituency, Maharashtra | Retweets are not Endorsements",https://twitter.com/supriya_sule,http://supriyassule.com,"Maharashtra, India",1661826
rameshlaus,"Entertainment Industry Tracker | Covers Hollywood, Bollywood, South Indian  | Previously, Did Consulting for Fortune 500 Companies in US | RTs NOT Endorsements",https://twitter.com/rameshlaus,https://www.instagram.com/rameshlausinsta/,"Chennai, India",764327
PiyushGoyal,"Minister of Commerce & Industry, Consumer Affairs & Food & Public Distribution and Textiles, Govt. of India. Leader of House in Rajya Sabha.",https://twitter.com/PiyushGoyal,http://piyushgoyal.in/,India,11737167
TFC_mass,𝗧he 𝗙ans 𝗖lub Handle For Indian Actor #AK AJITHKUMAR     UpNext : #AK62 🔥⏳,https://twitter.com/TFC_mass,http://youtu.be/jnBZboK17_A,"Tamil Nadu, India",156761
MumbaichaDon,"Acute acumen in Politics and International Affairs. Speak Truth even if Bitter. Swimming against tide is Not my Choice,but Compulsion...to say FACTS.",https://twitter.com/MumbaichaDon,https://youtube.com/channel/UCVzPMTcJ_p5Gtoxlhu5yDZw,Bharat,64273
Jairam_Ramesh,"Member of Parliament| General Secretary in-charge Communications, Indian National Congress| former Union Minister| Author| Unapologetic Nehruvian.",https://twitter.com/Jairam_Ramesh,http://www.inc.in,India,282303
feroze_azeez,Deputy CEO @ARWealth | Helping HNI's & UHNI's amplify their wealth for over 20 years | Financial Markets Expert.,https://twitter.com/feroze_azeez,http://anandrathiwealth.in,"Mumbai, India",113632
SupremePSPK,Follow Us For All Updates On Campaigns related to @PawanKalyan ! జనని జన్మభూమి జనసేన,https://twitter.com/SupremePSPK,https://janasenaparty.org,India,46510
RadharamnDas,"Vice President & Spokesperson ISKCON @iskconkolkata, Director WB Annamrita, M.Tech, views expressed here r personal, RT&Likes≠endorsement.हिन्दू |
ಹಿಂದೂ, হিন্দু",https://twitter.com/RadharamnDas,http://www.iskconkolkata.com,India,47760
paro_nair,An actor and model by choice. Cinema by profession. Humanity by passion.,https://twitter.com/paro_nair,,Bangalore,765521
ysathishreddy,"Chairman, Telangana State Renewable Energy Development Corporation || BRS Party || KCR ✊🏻 (Views are personal)",https://twitter.com/ysathishreddy,http://trspartyonline.org,"Hyderabad, India",101320
