Username,Bio,profile URL,Location,Websites
VPIndia,"official twitter account of the vice president of india, shri jagdeep dhankhar.",https://twitter.com/VPIndia,"new delhi, india",https://t.co/1u25beBv9x
VP,vice president of the united states. wife to the first @secondgentleman. momala. auntie. fighting for the people.,https://twitter.com/VP,,https://t.co/vbwTCDuFie
Madam_President,a project of @emilyslist with the goal of electing @kamalaharris as the first woman vice president of the united states.,https://twitter.com/Madam_President,,https://t.co/woVJokZGQb
jessica_alupo,"2nd female vice president of the republic of uganda,mp, wife, proud mother and committed servant of the people.",https://twitter.com/jessica_alupo,"kampala, uganda",https://t.co/g327WBeX24
POTUS,"46th president of the united states, husband to @flotus, proud dad & pop. tweets may be archived: https://t.co/hdhbzbkkpu
text me: (302) 404-0880",https://twitter.com/POTUS,,https://t.co/MzB1JWfbJ0
Mike_Pence,"husband, father, 48th vice president of the united states 🇺🇸",https://twitter.com/Mike_Pence,,
VicePresPPPP,vice president pppp senator sherry rehman. parliamentary party leader of ppp and former leader of opposition in senate. former amb to us and fed min information,https://twitter.com/VicePresPPPP,,
MBawumia,"official twitter account of dr. mahamudu bawumia, vice president of the republic of ghana.",https://twitter.com/MBawumia,ghana,https://t.co/f6NVmv7Iup
GhanaPresidency,"official twitter handle for the office of the president of the republic of ghana, managed by the jubilee house communications bureau.",https://twitter.com/GhanaPresidency,,https://t.co/IPuLTxXM4B
GeorgeWeahOff,president of the republic of liberia.,https://twitter.com/GeorgeWeahOff,libéria,https://t.co/tMspysfbDB
Clickmanteaw,"executive assistant, office of the president jubilee house kanda, accra - ghana | founder of the hope campaign https://t.co/g9jvvphtqs",https://twitter.com/Clickmanteaw,"akropong, akuapem",https://t.co/vExflYiFvk
royaltcafe2012,"executive assistant & head of social media,office of the president, jubilee house | operations director, young patriots | operations director, let my vote count",https://twitter.com/royaltcafe2012,"accra, ghana",https://t.co/3DxXNTdOZb
VPPilipinas,the official twitter account of the office of the vice president of the philippines,https://twitter.com/VPPilipinas,national capital region,https://t.co/8EKtamalG0
FaisalNasym,vice president of the republic of maldives,https://twitter.com/FaisalNasym,maldives,https://t.co/ZbMH8DisGp
1VicePresident,first vice president of azerbaijan mehriban aliyeva,https://twitter.com/1VicePresident,baku,https://t.co/jVzgPGpNQ7
Madhukeshwar,"ceo, mcia | national vice president, bjp youth wing | vice president msba | lawyer | tech junkie | petrol head | wanderlust | nanos gigantum humeris insidentes",https://twitter.com/Madhukeshwar,india ,https://t.co/RABeug4AcO
icann_president,president and ceo of icann,https://twitter.com/icann_president,,https://t.co/Hq9pXMXVg0
MVenkaiahNaidu,former vice president of india.,https://twitter.com/MVenkaiahNaidu,new delhi,
OmarAbdullah,vice president @jknc_ tweets are my own. fb page - abdullah_omar instagram page - omar_abdullah_jk mastodon @omar_abdullah@toot.community,https://twitter.com/OmarAbdullah,"srinagar, jammu, delhi",
lenirobredo,"human rights lawyer. mother of aika, tricia and jillian. jesse's wife. public servant. 14th vice president of the philippines.",https://twitter.com/lenirobredo,philippines,
VasundharaBJP,official twitter account of bjp national vice-president | former chief minister of rajasthan (demitted office on 11th december 2018),https://twitter.com/VasundharaBJP,,https://t.co/lbFxiQXfPY
EricTrump,executive vice president of the @trump organization. husband to @laraleatrump. large advocate of @stjude children's hospital @trumpwinery #makeamericagreatagain,https://twitter.com/EricTrump,"florida, usa",https://t.co/7O1fX0uSVC
AgentM,"vice president & creative executive, @marvel digital media. podcaster, host, cameos in marvel stuff i guess? personal account! he/him",https://twitter.com/AgentM,nyc,https://t.co/Pkvh2UnMLN
atiku,"former vice president of nigeria. waziri adamawa, businessman, father and philanthropist. pdp presidential candidate, 2023.",https://twitter.com/atiku,,https://t.co/hPNvHhdtcc
PandaJay,national vice president bjp; party in-charge of assam & delhi; former mp (4 times from odisha); author; columnist; avid reader; helicopter pilot (1980 hours).,https://twitter.com/PandaJay,,https://t.co/feD2veXyCZ
ShuklaRajiv,"member of parliament - rajya sabha, vice-president bcci, former minister - government of india, member congress working committee, former chairman ipl",https://twitter.com/ShuklaRajiv,new delhi,https://t.co/T3hYTPK8nM
fadlizon,jubir rakyat - mp @dpr_ri ▪ vice president @gopac_eng ▪ @gerindra ▪ketum @hkti ▪founder @fadlizonlibrary ▪ketum snki ▪ketum @ikmdpp▪ ketum hsbi,https://twitter.com/fadlizon,indonesia,https://t.co/g4nOxpbnpu
gaGunNarang,olympic medallist in shooting |4x olympian| vice president of indian olympic association | wildlifer |views are my own |,https://twitter.com/gaGunNarang,india,
sherryrehman,pakistan’s federal minister for climate change;vice president ppp; former leader opposition senate;formerpak amb to the us.editor “womansplaining”,https://twitter.com/sherryrehman,pakistan ❤️,https://t.co/03crdGXrva
